iter	Passed	Remaining
786	17609	4766
787	17630	4743
788	17652	4720
789	17676	4698
790	17700	4676
791	17723	4654
792	17744	4631
793	17765	4609
794	17786	4586
795	17808	4563
796	17830	4541
797	17857	4520
798	17885	4499
799	17913	4478
800	17939	4456
801	17963	4434
802	17988	4413
803	18012	4391
804	18022	4365
805	18047	4343
806	18073	4322
807	18105	4302
808	18131	4280
809	18161	4260
810	18184	4237
811	18210	4216
812	18234	4194
813	18257	4171
814	18281	4149
815	18304	4127
816	18329	4105
817	18350	4082
818	18372	4060
819	18394	4037
820	18415	4015
821	18437	3992
822	18489	3976
823	18513	3954
824	18536	3932
825	18558	3909
826	18581	3887
827	18603	3864
828	18626	3842
829	18648	3819
830	18670	3796
831	18692	3774
832	18723	3753
833	18756	3733
834	18783	3711
835	18810	3690
836	18835	3668
837	18857	3645
838	18878	3622
839	18900	3600
840	18923	3577
841	18947	3555
842	18969	3532
843	18990	3510
844	19011	3487
845	19033	3464
846	19056	3442
847	19078	3419
848	19101	3397
849	19125	3375
850	19148	3352
851	19171	3330
852	19194	3307
853	19216	3285
854	19236	3262
855	19257	3239
856	19264	3214
857	19286	3191
858	19307	3169
859	19331	3146
860	19354	3124
861	19376	3102
862	19397	3079
863	19419	3056
864	19441	3034
865	19462	3011
866	19484	2988
867	19543	2972
868	19566	2949
869	19590	2927
870	19613	2904
871	19635	2882
872	19657	2859
873	19679	2837
874	19700	2814
875	19724	2792
876	19747	2769
877	19771	2747
878	19794	2724
879	19815	2702
880	19837	2679
881	19858	2656
882	19880	2634
883	19902	2611
884	19923	2588
885	19946	2566
886	19969	2544
887	19991	2521
888	20013	2498
889	20034	2476
890	20054	2453
891	20076	2430
892	20098	2408
893	20120	2385
894	20142	2363
895	20166	2340
896	20189	2318
897	20211	2295
898	20233	2273
899	20254	2250
900	20276	2227
901	20296	2205
902	20317	2182
903	20338	2159
904	20359	2137
905	20381	2114
906	20404	2092
907	20426	2069
908	20447	2047
909	20468	2024
910	20489	2001
911	20510	1979
912	20564	1959
913	20588	1937
914	20615	1915
915	20644	1893
916	20669	1870
917	20697	1848
918	20723	1826
919	20749	1804
920	20775	1782
921	20803	1759
922	20832	1737
923	20858	1715
924	20882	1693
925	20907	1670
926	20930	1648
927	20952	1625
928	20972	1602
929	20993	1580
930	21017	1557
931	21042	1535
932	21065	1512
933	21087	1490
934	21110	1467
935	21132	1444
936	21153	1422
937	21173	1399
938	21194	1376
939	21217	1354
940	21240	1331
941	21263	1309
942	21284	1286
943	21305	1263
944	21326	1241
945	21346	1218
946	21367	1195
947	21388	1173
948	21409	1150
949	21432	1128
950	21456	1105
951	21478	1082
952	21499	1060
953	21520	1037
954	21542	1015
955	21570	992
956	21594	970
957	21618	947
958	21642	925
959	21665	902
960	21686	880
961	21708	857
962	21728	834
963	21749	812
964	21771	789
965	21792	767
966	21814	744
967	21836	721
968	21859	699
969	21882	676
970	21903	654
971	21924	631
972	21945	608
973	21966	586
974	21988	563
975	22010	541
976	22033	518
977	22057	496
978	22080	473
979	22101	451
980	22122	428
981	22143	405
982	22164	383
983	22185	360
984	22207	338
985	22228	315
986	22252	293
987	22276	270
988	22299	248
989	22321	225
990	22343	202
991	22364	180
992	22385	157
993	22407	135
994	22428	112
995	22452	90
996	22475	67
997	22499	45
998	22520	22
999	22542	0
